Ausztria;2797;4407;73687;1,6;16,7
Belgium,Luxemburg;99;437;8965;4,4;20,5
Bulgária;663;741;6603;1,1;8,9
Csehország;1003;2259;22695;2,3;10,0
Dánia;68;457;7688;6,8;16,8
EgyesültKirályság;293;1638;43565;5,6;26,6
Finnország;44;254;7442;5,7;29,3
Franciaország;184;928;28185;5,0;30,4
Görögország;48;236;3992;4,9;16,9
Hollandia;202;1690;20748;8,4;12,3
Horvátország;327;350;2259;1,1;6,5
Írország;40;234;5756;5,8;24,6
Lengyelország;1424;2982;26849;2,1;9,0
Németország;1482;8858;129737;6,0;14,6
Olaszország;427;1478;33715;3,5;22,8
Oroszország;104;517;13303;5,0;25,7
Románia;4598;7301;63897;1,6;8,8
Spanyolország,Portugália;154;894;22299;5,8;24,9
Svédország;93;803;10108;8,6;12,6
Szlovákia;3635;4437;36112;1,2;8,1
Szlovénia;114;118;1396;1,0;11,9
Ukrajna;872;1034;33987;1,2;32,9
